año,escuela,estado,municipio,comunidad,riesgo,longitud,latitud
2014.0,Otras,Chiapas,Acacoyagua,La Cadena ,alto,-92.7,15.37
2014.0,,Guerrero,Acatepec,Alcamani,bajo,-98.95,17.14
2014.0,,Guerrero,Acatepec,San Juan de Los Pinos,medio,-99.06,17.13
2014.0,,Guerrero,Acatepec,El Mirador,alto,-98.88,17.23
2014.0,,Hidalgo,Acatlan,Los Arcos,alto,-98.45,20.18
2014.0,,Veracruz,Acayucan,San Juan de Los Llanos,alto,-95.15,18.07
2014.0,Otras,Sinaloa,Ahome,Campo Victoria,medio,-109.09,25.91
2014.0,,Guanajuato,Allende,La Cieneguita,bajo,-100.79,20.95
2014.0,,Chiapas,Altamirano,San Marcos,alto,-91.72,16.63
2014.0,,Chiapas,Altamirano,Nueva Delicia,alto,-91.79,16.62
2014.0,,Chiapas,Amatenango de la Frontera,Rio Guerrero,alto,-92.16,15.58
2014.0,,Zacatecas,Apulco,Arroyo Hondo de Arriba,medio,-102.72,21.47
2014.0,,Puebla,Aquixtla,El Terrero,bajo,-97.95,19.79
2014.0,,Nuevo Leon,Aramberri,La Rosita (Los Llanitos),alto,-99.91,24.17
2014.0,Otras,San Luis Potosi,Armadillo de Los Infante,Paradita Del Refugio,medio,-100.53,22.35
2014.0,,Coahuila,Arteaga,La Rosita,bajo,-100.66,25.36
2014.0,,Coahuila,Arteaga,San Antonio de las Alazanas,bajo,-100.58,25.27
2014.0,,Aguascalientes,Asientos,Guadalupe de Atlas,bajo,-102.03,22.27
2014.0,,Morelos,Ayala,Colonia Gral. Emiliano Zapata (El Chivatero),medio,-99,18.69
2014.0,,Morelos,Ayala,Huacatlaco (Los Anonos),bajo,-98.91,18.68
2014.0,,Tabasco,Balancan,La Cuchilla,alto,-91.25,17.82
2014.0,,Chiapas,Bella Vista,Union Progreso,alto,-92.23,15.59
2014.0,,Chihuahua,Buenaventura,Rodrigo M. Quevedo,bajo,-107.52,29.92
2014.0,,Campeche,Calakmul,Felipe Angeles Dos,alto,-89.62,18.53
2014.0,,Zacatecas,Calera,La Estacion de Calera,bajo,-102.747866719809,22.9439052886123
2014.0,,Tabasco,Cardenas,Santana 2a. Seccion C,bajo,-93.44,18.18
2014.0,,Campeche,Carmen,Los Manantiales,medio,-91.08,18.72
2014.0,,Campeche,Carmen,Carlos Salinas De Gortari,alto,-92.26,18.62
2014.0,,Coahuila,Castanos,La Gloria (El Marques),bajo,-101.37,26.64
