state,variable,value
Aguascalientes,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.755656108597285
Baja California,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.6931918656056587
Baja California Sur,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7961165048543689
Campeche,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.8187134502923976
Chiapas,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7495621716287215
Chihuahua,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.6972477064220184
Ciudad de Mexico,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.8556749182624942
Coahuila ,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7523510971786834
Colima,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.6451612903225806
Durango,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.6543909348441926
Estado de Mexico,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.8730964467005076
Guanajuato,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7763904653802497
Guerrero,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7581573896353166
Hidalgo,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7944621938232161
Jalisco,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7980241492864983
Michoacan,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7380191693290735
Morelos,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.8283261802575107
Nayarit,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7350427350427351
Nuevo Leon,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.6812339331619537
Oaxaca,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7660256410256411
Puebla,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.8523840627041149
Queretaro ,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7651098901098901
Quintana Roo,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7883333333333333
San Luis Potosi,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7539149888143176
Sinaloa,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.6592797783933518
Sonora,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.5506807866868382
Tabasco,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.717434869739479
Tamaulipas,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7694994179278231
Tlaxcala,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.8203309692671394
Veracruz,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.689522764673615
Yucatan,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.714987714987715
Zacatecas,"Afuera de la escuela, ¿hay puestos ambulantes que venden comida chatarra y/o bebidas azucaradas?",0.7900355871886121
Aguascalientes,¿Se venden refrescos con azúcar (no light)?,0.7773972602739726
Baja California,¿Se venden refrescos con azúcar (no light)?,0.8349184782608695
Baja California Sur,¿Se venden refrescos con azúcar (no light)?,0.8266666666666667
Campeche,¿Se venden refrescos con azúcar (no light)?,0.8995633187772926
Chiapas,¿Se venden refrescos con azúcar (no light)?,0.9138187221396731
Chihuahua,¿Se venden refrescos con azúcar (no light)?,0.8832
Ciudad de Mexico,¿Se venden refrescos con azúcar (no light)?,0.5986086956521739
Coahuila ,¿Se venden refrescos con azúcar (no light)?,0.8408812729498164
Colima,¿Se venden refrescos con azúcar (no light)?,0.5527950310559007
Durango,¿Se venden refrescos con azúcar (no light)?,0.8200934579439252
Estado de Mexico,¿Se venden refrescos con azúcar (no light)?,0.8508790072388831
Guanajuato,¿Se venden refrescos con azúcar (no light)?,0.7849462365591398
Guerrero,¿Se venden refrescos con azúcar (no light)?,0.7596302003081664
Hidalgo,¿Se venden refrescos con azúcar (no light)?,0.81998199819982
Jalisco,¿Se venden refrescos con azúcar (no light)?,0.733892321270962
Michoacan,¿Se venden refrescos con azúcar (no light)?,0.7721973094170403
Morelos,¿Se venden refrescos con azúcar (no light)?,0.705229793977813
Nayarit,¿Se venden refrescos con azúcar (no light)?,0.7845117845117845
Nuevo Leon,¿Se venden refrescos con azúcar (no light)?,0.9047619047619048
Oaxaca,¿Se venden refrescos con azúcar (no light)?,0.8101604278074866
Puebla,¿Se venden refrescos con azúcar (no light)?,0.8716666666666667
Queretaro ,¿Se venden refrescos con azúcar (no light)?,0.8057630736392742
Quintana Roo,¿Se venden refrescos con azúcar (no light)?,0.9121725731895224
San Luis Potosi,¿Se venden refrescos con azúcar (no light)?,0.7658450704225352
Sinaloa,¿Se venden refrescos con azúcar (no light)?,0.7579318448883666
Sonora,¿Se venden refrescos con azúcar (no light)?,0.7606635071090048
Tabasco,¿Se venden refrescos con azúcar (no light)?,0.8588039867109635
Tamaulipas,¿Se venden refrescos con azúcar (no light)?,0.8958904109589041
Tlaxcala,¿Se venden refrescos con azúcar (no light)?,0.876
Veracruz,¿Se venden refrescos con azúcar (no light)?,0.8736664795058956
