Entidad,Año,Municipio,edad,cantidad
Baja California,2022,Mexicali,total,165.0
Baja California,2023,Mexicali,total,1606.0
Baja California,2024,Mexicali,total,3700.0
CDMX,2022,CDMX,total,556.0
CDMX,2023,CDMX,total,1334.0
CDMX,2024,CDMX,total,1070.0
Chiapas,2022,Chiapas,0 a 11 años,3725.0
Chiapas,2022,Chiapas,12 a 17 años,1433.0
Chiapas,2022,Chiapas,total,5134.0
Chiapas,2023,Chiapas,0 a 11 años,1940.0
Chiapas,2023,Chiapas,12 a 17 años,1085.0
Chiapas,2023,Chiapas,total,3026.0
Chiapas,2024,Chiapas,0 a 11 años,5836.0
Chiapas,2024,Chiapas,12 a 17 años,1753.0
Chiapas,2024,Chiapas,total,7589.0
Chihuahua,2022,Chihuahua,0 a 11 años,1420.0
Chihuahua,2022,Chihuahua,12 a 17 años,935.0
Chihuahua,2022,Chihuahua,total,2369.0
Chihuahua,2023,Chihuahua,0 a 11 años,380.0
Chihuahua,2023,Chihuahua,12 a 17 años,659.0
Chihuahua,2023,Chihuahua,total,1057.0
Chihuahua,2024,Chihuahua,0 a 11 años,266.0
Chihuahua,2024,Chihuahua,12 a 17 años,440.0
Chihuahua,2024,Chihuahua,total,722.0
Coahuila,2022,Total,0 a 11 años,286.0
Coahuila,2022,Total,12 a 17 años,631.0
Coahuila,2022,Total,total,918.0
Coahuila,2023,Total,0 a 11 años,71.0
Coahuila,2023,Total,12 a 17 años,244.0
Coahuila,2023,Total,total,315.0
Coahuila,2024,Total,0 a 11 años,45.0
Coahuila,2024,Total,12 a 17 años,298.0
Coahuila,2024,Total,total,342.0
Sonora,2022,Sonora,0 a 11 años,1302.0
Sonora,2022,Sonora,12 a 17 años,1533.0
Sonora,2022,Sonora,total,2837.0
Sonora,2023,Sonora,0 a 11 años,2738.0
Sonora,2023,Sonora,12 a 17 años,1480.0
Sonora,2023,Sonora,total,4218.0
Sonora,2024,Sonora,0 a 11 años,9.0
Sonora,2024,Sonora,12 a 17 años,180.0
Sonora,2024,Sonora,total,189.0
Tabasco,2022,Tabasco,total,3244.0
Tabasco,2023,Tabasco,total,6086.0
Tabasco,2024,Tabasco,total,11040.0
Veracruz,2022,Veracruz,0 a 11 años,87.0
Veracruz,2022,Veracruz,12 a 17 años,979.0
Veracruz,2022,Veracruz,total,1066.0
Veracruz,2023,Veracruz,0 a 11 años,166.0
Veracruz,2023,Veracruz,12 a 17 años,1300.0
Veracruz,2023,Veracruz,total,1466.0
Veracruz,2024,Veracruz,0 a 11 años,9.0
Veracruz,2024,Veracruz,12 a 17 años,86.0
Veracruz,2024,Veracruz,total,95.0
