estado,año,subsidio
Aguascalientes,2022,4.4
Aguascalientes,2023,3.2
Aguascalientes,2024,5.0
Baja California,2022,163.4
Baja California,2023,142.8
Baja California,2024,189.2
Campeche,2022,36.4
Campeche,2023,8.9
Campeche,2024,7.0
Chiapas,2021,226.0
Chiapas,2022,262.2
Chiapas,2023,187.1
Chiapas,2024,132.1
Chihuahua,2022,39.1
Chihuahua,2023,161.5
Chihuahua,2024,562.1
Ciudad de México,2022,19.6
Ciudad de México,2023,24.0
Ciudad de México,2024,18.0
Coahuila,2024,4.3
Coahuila de Zaragoza,2022,17.3
Coahuila de Zaragoza,2023,9.2
Colima,2022,3.7
Colima,2023,8.2
Colima,2024,2.0
Colima ,2024,1.8
Durango,2022,7.3
Durango,2023,4.8
Durango ,2024,7.0
Estado de México,2022,24.6
Estado de México,2023,11.0
Estado de México,2024,11.0
Guerrero,2022,33.0
Guerrero,2023,33.0
Guerrero,2024,8.5
Hidalgo,2022,16.7
Hidalgo,2023,318.0
Hidalgo ,2024,123.4
Jalisco,2022,14.1
Jalisco,2023,14.0
Jalisco,2024,10.5
Michoacán,2022,72.2
Michoacán,2023,7.0
Michoacán,2024,3.5
Morelos,2022,5.9
Morelos,2023,3.5
Morelos,2024,3.5
Nayarit,2022,12.1
Nayarit,2023,2.8
Nayarit,2024,4.5
Nuevo León,2022,100.7
Nuevo León,2023,73.8
Nuevo León,2024,76.7
Oaxaca,2022,33.4
Oaxaca,2023,62.9
Oaxaca,2024,17.2
Puebla,2022,23.0
Puebla,2023,14.5
Puebla,2024,14.6
Querétaro,2023,1.1
Querétaro,2024,0.0
Quintana Roo,2022,20.1
Quintana Roo,2023,5.1
San Luis Potosí,2022,200.0
San Luis Potosí,2023,4.2
San Luis Potosí,2024,5.0
Sinaloa,2022,120.0
Sinaloa,2023,11.0
Sinaloa,2024,3.5
Sonora,2022,49.0
Sonora,2023,49.6
Sonora ,2024,33.5
Tabasco,2021,25.3
Tabasco,2022,31.4
Tabasco,2023,37.8
Tabasco,2024,35.6
Tamaulipas,2022,22.1
Tamaulipas,2023,10.1
Tamaulipas,2024,19.0
Tlaxcala,2022,160.0
Tlaxcala,2023,60.0
Tlaxcala,2024,30.0
Veracruz,2022,30.9
Veracruz,2023,167.1
Veracruz,2024,215.0
Zacatecas,2022,10.4
Zacatecas,2023,3.5
Zacatecas,2024,4.8
