state,value,variable
Aguascalientes,7430.0,12 a 17 años
Baja California,24240.0,12 a 17 años
Baja California Sur,7207.0,12 a 17 años
Campeche,3623.0,12 a 17 años
Chiapas,14730.0,12 a 17 años
Chihuahua,15487.0,12 a 17 años
Ciudad de México,42390.0,12 a 17 años
Coahuila,11777.0,12 a 17 años
Colima,5530.0,12 a 17 años
Durango,6869.0,12 a 17 años
Guanajuato,14237.0,12 a 17 años
Guerrero,12593.0,12 a 17 años
Hidalgo,25908.0,12 a 17 años
Jalisco,48470.0,12 a 17 años
Michoacán,18274.0,12 a 17 años
Morelos,12780.0,12 a 17 años
México,93029.0,12 a 17 años
República Mexicana,625490.0,12 a 17 años
Nayarit,8644.0,12 a 17 años
Nuevo León,53044.0,12 a 17 años
Oaxaca,23312.0,12 a 17 años
Puebla,27012.0,12 a 17 años
Querétaro,18503.0,12 a 17 años
Quintana Roo,17508.0,12 a 17 años
San Luis Potosí,10182.0,12 a 17 años
Sinaloa,12763.0,12 a 17 años
Sonora,12921.0,12 a 17 años
Tabasco,6068.0,12 a 17 años
Tamaulipas,14667.0,12 a 17 años
Tlaxcala,6618.0,12 a 17 años
Veracruz,30626.0,12 a 17 años
Yucatán,13010.0,12 a 17 años
Zacatecas,6038.0,12 a 17 años
Aguascalientes,17538.0,5 a 17 años
Baja California,58671.0,5 a 17 años
Baja California Sur,17779.0,5 a 17 años
Campeche,8704.0,5 a 17 años
Chiapas,34464.0,5 a 17 años
Chihuahua,36879.0,5 a 17 años
Ciudad de México,93539.0,5 a 17 años
Coahuila,28935.0,5 a 17 años
Colima,12572.0,5 a 17 años
Durango,16591.0,5 a 17 años
Guanajuato,34454.0,5 a 17 años
Guerrero,29092.0,5 a 17 años
Hidalgo,60643.0,5 a 17 años
Jalisco,115662.0,5 a 17 años
Michoacán,43634.0,5 a 17 años
Morelos,29358.0,5 a 17 años
México,215577.0,5 a 17 años
República Mexicana,1477515.0,5 a 17 años
Nayarit,20838.0,5 a 17 años
Nuevo León,133216.0,5 a 17 años
Oaxaca,53024.0,5 a 17 años
Puebla,62211.0,5 a 17 años
Querétaro,43670.0,5 a 17 años
Quintana Roo,42147.0,5 a 17 años
San Luis Potosí,24768.0,5 a 17 años
Sinaloa,29907.0,5 a 17 años
Sonora,31191.0,5 a 17 años
Tabasco,14476.0,5 a 17 años
Tamaulipas,34939.0,5 a 17 años
Tlaxcala,15750.0,5 a 17 años
Veracruz,72677.0,5 a 17 años
Yucatán,29676.0,5 a 17 años
Zacatecas,14933.0,5 a 17 años
Aguascalientes,1554.0,5 años
Baja California,5390.0,5 años
Baja California Sur,1655.0,5 años
Campeche,714.0,5 años
Chiapas,2966.0,5 años
Chihuahua,3219.0,5 años
Ciudad de México,7661.0,5 años
Coahuila,2741.0,5 años
Colima,992.0,5 años
Durango,1454.0,5 años
Guanajuato,3159.0,5 años
Guerrero,2617.0,5 años
Hidalgo,5136.0,5 años
Jalisco,10061.0,5 años
Michoacán,3865.0,5 años
Morelos,2321.0,5 años
México,17919.0,5 años
República Mexicana,130414.0,5 años
Nayarit,1825.0,5 años
Nuevo León,13088.0,5 años
Oaxaca,4751.0,5 años
Puebla,5543.0,5 años
Querétaro,3914.0,5 años
Quintana Roo,3964.0,5 años
San Luis Potosí,2406.0,5 años
Sinaloa,2569.0,5 años
Sonora,2710.0,5 años
Tabasco,1261.0,5 años
Tamaulipas,3089.0,5 años
Tlaxcala,1454.0,5 años
Veracruz,6479.0,5 años
Yucatán,2526.0,5 años
Zacatecas,1411.0,5 años
Aguascalientes,8554.0,6 a 11 años
Baja California,29041.0,6 a 11 años
Baja California Sur,8917.0,6 a 11 años
Campeche,4367.0,6 a 11 años
Chiapas,16768.0,6 a 11 años
Chihuahua,18173.0,6 a 11 años
Ciudad de México,43488.0,6 a 11 años
Coahuila,14417.0,6 a 11 años
Colima,6050.0,6 a 11 años
